Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
tr|F8W9S7|F8W9S7_HUMAN;sp|Q14C86-3|GAPD1_HUMAN;sp|Q14C86-4|GAPD1_HUMAN;sp|Q14C86-5|GAPD1_HUMAN;sp|Q14C86-2|GAPD1_HUMAN;sp|Q14C86|GAPD1_HUMAN;sp|Q14C86-6|GAPD1_HUMAN;tr|C9IZ08|C9IZ08_HUMAN;tr|B0QZ65|B0QZ65_HUMAN;tr|B4DGD8|B4DGD8_HUMAN;tr|H0Y4E7|H0Y4E7_HUMAN;tr|H0Y7I9|H0Y7I9_HUMAN;tr|C9IZX9|C9IZX9_HUMAN	tr|F8W9S7|F8W9S7_HUMAN;sp|Q14C86-3|GAPD1_HUMAN;sp|Q14C86-4|GAPD1_HUMAN;sp|Q14C86-5|GAPD1_HUMAN;sp|Q14C86-2|GAPD1_HUMAN;sp|Q14C86|GAPD1_HUMAN;sp|Q14C86-6|GAPD1_HUMAN;tr|C9IZ08|C9IZ08_HUMAN	7;7;7;7;7;7;7;5;3;3;3;3;2	7;7;7;7;7;7;7;5;3;3;3;3;2	7;7;7;7;7;7;7;5;3;3;3;3;2	tr|F8W9S7|F8W9S7_HUMAN GTPase-activating protein and VPS9 domain-containing protein 1 OS=Homo sapiens GN=GAPVD1 PE=1 SV=1;sp|Q14C86-3|GAPD1_HUMAN Isoform 3 of GTPase-activating protein and VPS9 domain-containing protein 1 OS=Homo sapiens GN=GAPVD1;sp|Q14C8	13	7	7	7	7.7	7.7	7.7	157.46	1412	1412;1433;1439;1452;1460;1478;1487;988;497;756;830;837;117	0	46.178	277990000	7				1581	1124;4277;5534;11227;11911;12146;19215	True;True;True;True;True;True;True	1141;4332;5612;11385;12078;12316;19527	1328;5092;6594;13604;14419;14709;23236	1484;5739;7390;15320;16242;16557;26069	1484;5739;7390;15320;16242;16557;26069		
sp|Q14CX7|NAA25_HUMAN;sp|Q14CX7-2|NAA25_HUMAN	sp|Q14CX7|NAA25_HUMAN;sp|Q14CX7-2|NAA25_HUMAN	2;1	2;1	2;1	sp|Q14CX7|NAA25_HUMAN N-alpha-acetyltransferase 25, NatB auxiliary subunit OS=Homo sapiens GN=NAA25 PE=1 SV=1;sp|Q14CX7-2|NAA25_HUMAN Isoform 2 of N-alpha-acetyltransferase 25, NatB auxiliary subunit OS=Homo sapiens GN=NAA25	2	2	2	2	3.3	3.3	3.3	112.29	972	972;859	0	15.659	74056000	2				1582	11583;19754	True;True	11744;20072	14047;23869	15828;26772	15828;26772		
tr|E9PL01|E9PL01_HUMAN;sp|Q15005|SPCS2_HUMAN;tr|E9PI68|E9PI68_HUMAN;tr|E9PRB9|E9PRB9_HUMAN;tr|H0YE04|H0YE04_HUMAN	tr|E9PL01|E9PL01_HUMAN;sp|Q15005|SPCS2_HUMAN;tr|E9PI68|E9PI68_HUMAN;tr|E9PRB9|E9PRB9_HUMAN	6;6;6;3;2	6;6;6;3;2	6;6;6;3;2	tr|E9PL01|E9PL01_HUMAN Signal peptidase complex subunit 2 OS=Homo sapiens GN=SPCS2 PE=1 SV=1;sp|Q15005|SPCS2_HUMAN Signal peptidase complex subunit 2 OS=Homo sapiens GN=SPCS2 PE=1 SV=3;tr|E9PI68|E9PI68_HUMAN Signal peptidase complex subunit 2 OS=Homo sapie	5	6	6	6	47.8	47.8	47.8	17.027	157	157;226;257;87;166	0	55.468	331590000	8				1583	5139;8040;11106;12347;16125;16258	True;True;True;True;True;True	5210;8156;11263;12518;16380;16513	6105;9695;9696;13454;13455;14938;19431;19594	6855;10954;10955;15156;15157;16808;21788;21973	6855;10955;15156;16808;21788;21973		
sp|Q15006|EMC2_HUMAN;tr|E5RGJ2|E5RGJ2_HUMAN;tr|H0YAS9|H0YAS9_HUMAN	sp|Q15006|EMC2_HUMAN;tr|E5RGJ2|E5RGJ2_HUMAN;tr|H0YAS9|H0YAS9_HUMAN	2;1;1	2;1;1	2;1;1	sp|Q15006|EMC2_HUMAN ER membrane protein complex subunit 2 OS=Homo sapiens GN=EMC2 PE=1 SV=1;tr|E5RGJ2|E5RGJ2_HUMAN ER membrane protein complex subunit 2 (Fragment) OS=Homo sapiens GN=EMC2 PE=1 SV=1;tr|H0YAS9|H0YAS9_HUMAN ER membrane protein complex subuni	3	2	2	2	10.4	10.4	10.4	34.833	297	297;112;135	0	18.17	73826000	2				1584	8644;14124	True;True	8764;14354	10418;17077	11759;19168	11759;19168		
sp|Q15008|PSMD6_HUMAN;sp|Q15008-4|PSMD6_HUMAN;sp|Q15008-3|PSMD6_HUMAN;sp|Q15008-2|PSMD6_HUMAN;tr|C9J7B7|C9J7B7_HUMAN;tr|C9J0E9|C9J0E9_HUMAN;tr|H7C531|H7C531_HUMAN	sp|Q15008|PSMD6_HUMAN;sp|Q15008-4|PSMD6_HUMAN;sp|Q15008-3|PSMD6_HUMAN;sp|Q15008-2|PSMD6_HUMAN	12;11;8;8;4;3;2	12;11;8;8;4;3;2	12;11;8;8;4;3;2	sp|Q15008|PSMD6_HUMAN 26S proteasome non-ATPase regulatory subunit 6 OS=Homo sapiens GN=PSMD6 PE=1 SV=1;sp|Q15008-4|PSMD6_HUMAN Isoform 4 of 26S proteasome non-ATPase regulatory subunit 6 OS=Homo sapiens GN=PSMD6;sp|Q15008-3|PSMD6_HUMAN Isoform 3 of 26S pr	7	12	12	12	32.9	32.9	32.9	45.531	389	389;442;350;351;144;226;138	0	83.217	995440000	15				1585	2988;3773;5425;5879;8039;9436;9572;14313;14439;14440;15482;16457	True;True;True;True;True;True;True;True;True;True;True;True	3030;3823;5500;5964;8155;9574;9710;14547;14673;14674;15725;16714	3548;4490;6467;6468;7000;7001;9694;11384;11558;17299;17437;17438;18669;19846;19847	4016;5063;7258;7259;7860;7861;10953;12842;13033;19407;19554;19555;19556;20932;22252;22253	4016;5063;7259;7860;10953;12842;13033;19407;19554;19556;20932;22253		
sp|Q15019|SEPT2_HUMAN;sp|Q15019-3|SEPT2_HUMAN;sp|Q15019-2|SEPT2_HUMAN;tr|B5MCX3|B5MCX3_HUMAN;tr|C9JB25|C9JB25_HUMAN;tr|C9J2Q4|C9J2Q4_HUMAN;tr|C9J938|C9J938_HUMAN;tr|C9IY94|C9IY94_HUMAN;tr|H7C310|H7C310_HUMAN;tr|H7C2Y0|H7C2Y0_HUMAN;tr|C9IZU3|C9IZU3_HUMAN;tr|C9JQJ4|C9JQJ4_HUMAN;tr|C9JTV8|C9JTV8_HUMAN;tr|C9JFT1|C9JFT1_HUMAN;tr|F8WB65|F8WB65_HUMAN;tr|B5MD47|B5MD47_HUMAN;tr|C9JZI2|C9JZI2_HUMAN;tr|H7C1T1|H7C1T1_HUMAN;tr|C9JT15|C9JT15_HUMAN;tr|C9JSE7|C9JSE7_HUMAN	sp|Q15019|SEPT2_HUMAN;sp|Q15019-3|SEPT2_HUMAN;sp|Q15019-2|SEPT2_HUMAN;tr|B5MCX3|B5MCX3_HUMAN;tr|C9JB25|C9JB25_HUMAN;tr|C9J2Q4|C9J2Q4_HUMAN	14;14;14;13;7;7;6;5;5;5;4;3;2;2;2;2;2;1;1;1	14;14;14;13;7;7;6;5;5;5;4;3;2;2;2;2;2;1;1;1	14;14;14;13;7;7;6;5;5;5;4;3;2;2;2;2;2;1;1;1	sp|Q15019|SEPT2_HUMAN Septin-2 OS=Homo sapiens GN=SEPT2 PE=1 SV=1;sp|Q15019-3|SEPT2_HUMAN Isoform 3 of Septin-2 OS=Homo sapiens GN=SEPT2;sp|Q15019-2|SEPT2_HUMAN Isoform 2 of Septin-2 OS=Homo sapiens GN=SEPT2;tr|B5MCX3|B5MCX3_HUMAN Septin-2 OS=Homo sapiens 	20	14	14	14	59.3	59.3	59.3	41.487	361	361;371;396;321;173;184;148;121;161;188;131;147;71;72;80;94;105;29;50;52	0	192.14	2150100000	17				1586	1578;8528;10176;10177;12456;12715;13245;15112;16910;17643;17905;19037;20763;20764	True;True;True;True;True;True;True;True;True;True;True;True;True;True	1600;8647;10320;10321;12628;12890;13450;15351;17176;17924;18193;18194;19346;21094;21095	1877;10281;12340;12341;15068;15375;15376;16027;18222;20378;21283;21621;21622;21623;23000;25093;25094;25095	2129;11610;13893;13894;16949;17295;17296;17998;20418;22849;22850;23882;24255;24256;24257;25818;28154;28155;28156	2129;11610;13893;13894;16949;17296;17998;20418;22849;23882;24256;25818;28155;28156	350	279
tr|B7ZKM0|B7ZKM0_HUMAN;sp|Q15020|SART3_HUMAN;tr|F8VV04|F8VV04_HUMAN;sp|Q15020-2|SART3_HUMAN;tr|F8VVK9|F8VVK9_HUMAN;tr|F8VZM2|F8VZM2_HUMAN;tr|F8W667|F8W667_HUMAN;tr|H0YHU8|H0YHU8_HUMAN	tr|B7ZKM0|B7ZKM0_HUMAN;sp|Q15020|SART3_HUMAN;tr|F8VV04|F8VV04_HUMAN	13;13;10;4;2;2;2;1	13;13;10;4;2;2;2;1	13;13;10;4;2;2;2;1	tr|B7ZKM0|B7ZKM0_HUMAN SART3 protein OS=Homo sapiens GN=SART3 PE=1 SV=1;sp|Q15020|SART3_HUMAN Squamous cell carcinoma antigen recognized by T-cells 3 OS=Homo sapiens GN=SART3 PE=1 SV=1;tr|F8VV04|F8VV04_HUMAN Squamous cell carcinoma antigen recognized by T-	8	13	13	13	20	20	20	105.58	927	927;963;771;364;111;156;305;144	0	101.94	611820000	15				1587	1134;2932;3708;4344;5522;6505;8873;10835;12130;17345;18063;20435;20722	True;True;True;True;True;True;True;True;True;True;True;True;True	1151;2972;3757;4399;5600;6601;9002;10988;12300;17619;18353;20763;21053	1339;3480;4416;5176;6580;7793;10696;13126;14688;14689;20905;21801;24703;25043	1495;3932;4975;5844;7376;8765;12068;14775;16534;16535;23453;23454;24447;27727;28100	1495;3932;4975;5844;7376;8765;12068;14775;16534;23454;24447;27727;28100		
tr|E7EN77|E7EN77_HUMAN;tr|F5GZJ1|F5GZJ1_HUMAN;sp|Q15021|CND1_HUMAN	tr|E7EN77|E7EN77_HUMAN;tr|F5GZJ1|F5GZJ1_HUMAN;sp|Q15021|CND1_HUMAN	2;2;2	2;2;2	2;2;2	tr|E7EN77|E7EN77_HUMAN Condensin complex subunit 1 (Fragment) OS=Homo sapiens GN=NCAPD2 PE=1 SV=2;tr|F5GZJ1|F5GZJ1_HUMAN Condensin complex subunit 1 OS=Homo sapiens GN=NCAPD2 PE=1 SV=1;sp|Q15021|CND1_HUMAN Condensin complex subunit 1 OS=Homo sapiens GN=NCA	3	2	2	2	3.4	3.4	3.4	102.65	919	919;1356;1401	0	14	44700000	2				1588	3038;15201	True;True	3081;15441	3606;18323	4082;20532	4082;20532		
sp|Q15024|EXOS7_HUMAN	sp|Q15024|EXOS7_HUMAN	1	1	1	sp|Q15024|EXOS7_HUMAN Exosome complex component RRP42 OS=Homo sapiens GN=EXOSC7 PE=1 SV=3	1	1	1	1	5.8	5.8	5.8	31.821	291	291	0.0030441	6.3965	19191000	1				1589	6898	True	6997	8268	9298	9298		
sp|Q15029-2|U5S1_HUMAN;sp|Q15029|U5S1_HUMAN;sp|Q15029-3|U5S1_HUMAN;tr|K7EP67|K7EP67_HUMAN;tr|K7EJ74|K7EJ74_HUMAN;tr|K7EIT3|K7EIT3_HUMAN	sp|Q15029-2|U5S1_HUMAN;sp|Q15029|U5S1_HUMAN;sp|Q15029-3|U5S1_HUMAN	20;20;19;7;3;1	19;19;18;6;2;1	19;19;18;6;2;1	sp|Q15029-2|U5S1_HUMAN Isoform 2 of 116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens GN=EFTUD2;sp|Q15029|U5S1_HUMAN 116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens GN=EFTUD2 PE=1 SV=1;sp|Q15029-3|U5S1_HUMAN Isoform 	6	20	19	19	27.1	26	26	105.38	937	937;972;962;223;134;148	0	141.6	1311300000	25				1590	529;2062;5137;6257;6676;7958;8516;8523;9097;10939;11805;13426;14297;17250;17576;17743;18744;18745;19433;20489	True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	536;2089;5208;6348;6772;8074;8635;8642;9230;11093;11971;13641;14531;17523;17856;18026;19050;19051;19746;20818	623;2436;6103;7467;8003;9598;10267;10274;10275;10973;13255;14301;16248;17281;20789;21197;21409;22650;22651;22652;23490;23491;24765	694;2750;6852;8381;8999;10848;11595;11603;11604;12379;14926;16106;18243;19388;19389;23321;23790;24020;25417;25418;25419;25420;25421;26352;26353;27793	694;2750;6852;8381;8999;10848;11595;11603;12379;14926;16106;18243;19388;23321;23790;24020;25417;25421;26353;27793		
sp|Q15042-4|RB3GP_HUMAN;sp|Q15042|RB3GP_HUMAN;sp|Q15042-3|RB3GP_HUMAN	sp|Q15042-4|RB3GP_HUMAN;sp|Q15042|RB3GP_HUMAN;sp|Q15042-3|RB3GP_HUMAN	3;3;3	3;3;3	3;3;3	sp|Q15042-4|RB3GP_HUMAN Isoform 3 of Rab3 GTPase-activating protein catalytic subunit OS=Homo sapiens GN=RAB3GAP1;sp|Q15042|RB3GP_HUMAN Rab3 GTPase-activating protein catalytic subunit OS=Homo sapiens GN=RAB3GAP1 PE=1 SV=3;sp|Q15042-3|RB3GP_HUMAN Isoform 2	3	3	3	3	5.3	5.3	5.3	105.29	935	935;981;988	0	22.939	96931000	3				1591	7512;9813;15744	True;True;True	7619;9956;15991	9013;11880;18988	10156;13386;21280	10156;13386;21280		
sp|Q15046|SYK_HUMAN;sp|Q15046-2|SYK_HUMAN;tr|H3BVA8|H3BVA8_HUMAN;tr|J3KRL2|J3KRL2_HUMAN;tr|H3BPV7|H3BPV7_HUMAN;tr|H3BRC9|H3BRC9_HUMAN	sp|Q15046|SYK_HUMAN;sp|Q15046-2|SYK_HUMAN	15;14;4;3;2;1	15;14;4;3;2;1	15;14;4;3;2;1	sp|Q15046|SYK_HUMAN Lysine--tRNA ligase OS=Homo sapiens GN=KARS PE=1 SV=3;sp|Q15046-2|SYK_HUMAN Isoform Mitochondrial of Lysine--tRNA ligase OS=Homo sapiens GN=KARS	6	15	15	15	29.5	29.5	29.5	68.047	597	597;625;256;102;104;76	0	113.03	1091900000	16				1592	238;5112;7930;8758;9719;11210;11885;11886;12507;15408;15934;18518;19996;20747;20960	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	239;5183;8046;8885;9859;11368;12052;12053;12680;15650;16186;18819;20315;21078;21294	273;6073;9570;10560;11759;13585;14392;14393;15128;18561;19215;19216;22372;24163;25074;25322	303;6821;10814;11917;13253;15299;16212;16213;17019;20806;21537;21538;25109;27100;28134;28408	303;6821;10814;11917;13253;15299;16212;16213;17019;20806;21538;25109;27100;28134;28408		
sp|Q15050|RRS1_HUMAN	sp|Q15050|RRS1_HUMAN	4	4	4	sp|Q15050|RRS1_HUMAN Ribosome biogenesis regulatory protein homolog OS=Homo sapiens GN=RRS1 PE=1 SV=2	1	4	4	4	14.2	14.2	14.2	41.193	365	365	0	28.749	168740000	5				1593	4894;12902;17943;18736	True;True;True;True	4957;13087;18233;19042	5815;15599;21665;22642	6533;6534;17535;24301;25409	6533;17535;24301;25409		
sp|Q15056-2|IF4H_HUMAN;sp|Q15056|IF4H_HUMAN	sp|Q15056-2|IF4H_HUMAN;sp|Q15056|IF4H_HUMAN	9;9	9;9	9;9	sp|Q15056-2|IF4H_HUMAN Isoform Short of Eukaryotic translation initiation factor 4H OS=Homo sapiens GN=EIF4H;sp|Q15056|IF4H_HUMAN Eukaryotic translation initiation factor 4H OS=Homo sapiens GN=EIF4H PE=1 SV=5	2	9	9	9	39.5	39.5	39.5	25.2	228	228;248	0	119.34	1367900000	11				1594	2001;2724;3465;3690;6130;6909;6910;18250;18251	True;True;True;True;True;True;True;True;True	2028;2763;3511;3738;6219;7008;7009;18542;18543	2366;3227;4116;4394;7302;8280;8281;22023;22024	2668;3649;4647;4949;8192;9311;9312;9313;24696;24697;24698	2668;3649;4647;4949;8192;9311;9313;24696;24698		
sp|Q15057|ACAP2_HUMAN;tr|H7C1E0|H7C1E0_HUMAN;tr|H7C3K3|H7C3K3_HUMAN;tr|H7C3Q8|H7C3Q8_HUMAN	sp|Q15057|ACAP2_HUMAN	5;2;1;1	5;2;1;1	5;2;1;1	sp|Q15057|ACAP2_HUMAN Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Homo sapiens GN=ACAP2 PE=1 SV=3	4	5	5	5	6.2	6.2	6.2	88.028	778	778;159;228;256	0	32.298	1750600000	5				1595	1461;1537;7725;16605;19794	True;True;True;True;True	1482;1559;7836;16865;20112	1738;1831;1832;9291;20020;23919	1972;2077;2078;10475;22444;26829	1972;2077;10475;22444;26829		
sp|Q15067-2|ACOX1_HUMAN;sp|Q15067-3|ACOX1_HUMAN;sp|Q15067|ACOX1_HUMAN;tr|K7ELT1|K7ELT1_HUMAN;tr|I3L0T4|I3L0T4_HUMAN;tr|I3L2U4|I3L2U4_HUMAN;tr|I3L4S5|I3L4S5_HUMAN;tr|K7ENF1|K7ENF1_HUMAN	sp|Q15067-2|ACOX1_HUMAN;sp|Q15067-3|ACOX1_HUMAN;sp|Q15067|ACOX1_HUMAN	9;7;7;3;3;1;1;1	9;7;7;3;3;1;1;1	9;7;7;3;3;1;1;1	sp|Q15067-2|ACOX1_HUMAN Isoform 2 of Peroxisomal acyl-coenzyme A oxidase 1 OS=Homo sapiens GN=ACOX1;sp|Q15067-3|ACOX1_HUMAN Isoform 3 of Peroxisomal acyl-coenzyme A oxidase 1 OS=Homo sapiens GN=ACOX1;sp|Q15067|ACOX1_HUMAN Peroxisomal acyl-coenzyme A oxidas	8	9	9	9	25.9	25.9	25.9	74.667	660	660;622;660;156;223;71;108;132	0	76.94	378870000	11				1596	477;2284;3092;3717;3963;5158;6860;8742;20441	True;True;True;True;True;True;True;True;True	482;2317;3136;3766;4017;5229;6958;8869;20769	558;2708;3670;4428;4726;6127;8221;8222;10539;24709	619;3052;4150;4990;5336;6878;9244;9245;9246;11890;27733	619;3052;4150;4990;5336;6878;9246;11890;27733		
sp|Q15075|EEA1_HUMAN	sp|Q15075|EEA1_HUMAN	33	33	33	sp|Q15075|EEA1_HUMAN Early endosome antigen 1 OS=Homo sapiens GN=EEA1 PE=1 SV=2	1	33	33	33	27.6	27.6	27.6	162.46	1411	1411	0	323.31	1466000000	34				1597	175;226;332;1726;4336;4448;4514;4608;6771;7590;7591;8841;8866;8885;9043;9125;9795;10733;11311;12070;12147;12209;13713;13771;14662;14819;14947;15089;15947;16435;16879;17354;19436	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	176;227;335;1750;4391;4503;4570;4664;6868;7699;7700;8970;8995;9014;9173;9258;9937;10884;11470;12239;12317;12380;13932;13990;14898;15057;15185;15328;16199;16692;17145;17629;19749	199;259;384;2044;5166;5288;5368;5482;8117;9114;9115;10657;10688;10710;10900;11002;11858;13005;13710;14616;14710;14783;16584;16660;17700;17893;18041;18199;19230;19814;20341;20917;20918;23495	221;288;429;2306;5829;5830;5963;6055;6177;9132;10270;10271;10272;12022;12059;12082;12295;12417;13361;14634;15443;16457;16558;16639;18618;18706;19847;20060;20222;20395;21553;22215;22803;23467;23468;26357	221;288;429;2306;5830;5963;6055;6177;9132;10270;10271;12022;12059;12082;12295;12417;13361;14634;15443;16457;16558;16639;18618;18706;19847;20060;20222;20395;21553;22215;22803;23467;26357		
sp|Q15084-3|PDIA6_HUMAN;sp|Q15084|PDIA6_HUMAN;sp|Q15084-4|PDIA6_HUMAN;sp|Q15084-5|PDIA6_HUMAN;sp|Q15084-2|PDIA6_HUMAN	sp|Q15084-3|PDIA6_HUMAN;sp|Q15084|PDIA6_HUMAN;sp|Q15084-4|PDIA6_HUMAN;sp|Q15084-5|PDIA6_HUMAN;sp|Q15084-2|PDIA6_HUMAN	11;11;11;11;11	11;11;11;11;11	11;11;11;11;11	sp|Q15084-3|PDIA6_HUMAN Isoform 3 of Protein disulfide-isomerase A6 OS=Homo sapiens GN=PDIA6;sp|Q15084|PDIA6_HUMAN Protein disulfide-isomerase A6 OS=Homo sapiens GN=PDIA6 PE=1 SV=1;sp|Q15084-4|PDIA6_HUMAN Isoform 4 of Protein disulfide-isomerase A6 OS=Homo	5	11	11	11	41.9	41.9	41.9	47.837	437	437;440;445;488;492	0	105.59	2248400000	13				1598	971;6101;6884;6932;10314;13842;14111;14162;17245;17468;18921	True;True;True;True;True;True;True;True;True;True;True	985;6190;6982;7031;10460;14061;14341;14393;17518;17747;19230	1140;7266;8251;8305;12514;16742;17062;17063;17120;20783;21059;21060;22866	1272;8154;9278;9339;14085;18797;19153;19154;19213;23315;23631;23632;25665	1272;8154;9278;9339;14085;18797;19153;19213;23315;23631;25665		
sp|Q15102|PA1B3_HUMAN;tr|M0R389|M0R389_HUMAN;tr|M0R1K3|M0R1K3_HUMAN;tr|M0QZT2|M0QZT2_HUMAN;tr|M0QXS6|M0QXS6_HUMAN;tr|M0R323|M0R323_HUMAN	sp|Q15102|PA1B3_HUMAN;tr|M0R389|M0R389_HUMAN;tr|M0R1K3|M0R1K3_HUMAN;tr|M0QZT2|M0QZT2_HUMAN	12;8;8;6;4;4	12;8;8;6;4;4	12;8;8;6;4;4	sp|Q15102|PA1B3_HUMAN Platelet-activating factor acetylhydrolase IB subunit gamma OS=Homo sapiens GN=PAFAH1B3 PE=1 SV=1;tr|M0R389|M0R389_HUMAN Platelet-activating factor acetylhydrolase IB subunit gamma (Fragment) OS=Homo sapiens GN=PAFAH1B3 PE=1 SV=2;tr|M	6	12	12	12	76.2	76.2	76.2	25.734	231	231;164;202;139;95;96	0	211.65	2021500000	16				1599	728;883;1042;4184;6819;9227;10740;11097;11395;16105;20137;20331	True;True;True;True;True;True;True;True;True;True;True;True	738;896;1057;4239;6916;9362;10891;11254;11554;16360;20458;20658	851;852;1040;1225;4984;4985;8173;11118;11119;13012;13013;13444;13819;19405;24336;24582	948;949;1162;1373;5617;5618;9192;12547;12548;14641;14642;15146;15569;21762;27312;27313;27594	949;1162;1373;5617;9192;12547;14642;15146;15569;21762;27313;27594		
sp|Q15121|PEA15_HUMAN;tr|B1AKZ3|B1AKZ3_HUMAN;tr|B1AKZ5|B1AKZ5_HUMAN	sp|Q15121|PEA15_HUMAN;tr|B1AKZ3|B1AKZ3_HUMAN;tr|B1AKZ5|B1AKZ5_HUMAN	6;6;3	6;6;3	6;6;3	sp|Q15121|PEA15_HUMAN Astrocytic phosphoprotein PEA-15 OS=Homo sapiens GN=PEA15 PE=1 SV=2;tr|B1AKZ3|B1AKZ3_HUMAN Astrocytic phosphoprotein PEA-15 OS=Homo sapiens GN=PEA15 PE=1 SV=1;tr|B1AKZ5|B1AKZ5_HUMAN Astrocytic phosphoprotein PEA-15 OS=Homo sapiens GN=	3	6	6	6	50	50	50	15.04	130	130;151;108	0	63.794	299360000	8				1600	3575;8947;10584;15548;15936;15937	True;True;True;True;True;True	3622;9076;10734;15794;16188;16189	4250;10784;12831;12832;18751;19218;19219	4793;12161;14445;14446;14447;21026;21540;21541	4793;12161;14446;21026;21540;21541		
sp|Q15125|EBP_HUMAN	sp|Q15125|EBP_HUMAN	1	1	1	sp|Q15125|EBP_HUMAN 3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase OS=Homo sapiens GN=EBP PE=1 SV=3	1	1	1	1	5.2	5.2	5.2	26.352	230	230	0	11.542	135790000	2				1601	7555	True	7663	9066;9067	10216;10217	10217		
sp|Q15126|PMVK_HUMAN	sp|Q15126|PMVK_HUMAN	5	5	5	sp|Q15126|PMVK_HUMAN Phosphomevalonate kinase OS=Homo sapiens GN=PMVK PE=1 SV=3	1	5	5	5	26	26	26	21.995	192	192	0	79.584	374270000	6				1602	4570;10691;12540;19790;20005	True;True;True;True;True	4626;10842;12713;20108;20324	5436;5437;12958;15165;23912;24174	6126;6127;14583;17060;26816;27113	6127;14583;17060;26816;27113		
